,tconst,primary_title,original_title,start_year,runtime_minutes,genres,actor,actress,composer,director,editor,producer,writer,movrating,r males,r females,r imdb users,r aged 18 29,r aged 30 44,r males aged 18 29,r males aged 30 44,r females aged 18 29,r top 1000 voters,r us users,r non us users,budget,global_gross,budget_inmil,gross_inmil,profit_ratio
228,tt2908446,Insurgent,Insurgent,2015,119.0,"Action,Adventure,Sci-Fi","nm5052065, nm3772243","nm0940362, nm0000701",,nm0777881,,nm0279651,"nm3929259, nm0326040, nm0093560, nm4316121",PG-13,6.1,6.7,6.2,6.4,6.1,6.2,6.0,6.8,5.5,6.2,6.1,110000000,297276329,110.0,297.276329,2.7025120818181816
229,tt2909116,Wolf Totem,Le dernier loup,2015,121.0,"Adventure,Drama","nm2682046, nm4081050, nm5629713",nm1921417,,nm0000269,,nm6206192,"nm5673217, nm0323708, nm0523760, nm0171722",PG-13,6.6,7.0,6.7,6.7,6.6,6.6,6.6,6.9,5.6,6.3,6.7,38000000,125784988,38.0,125.784988,3.3101312631578947
230,tt2932536,47 Meters Down,47 Meters Down,2017,89.0,"Adventure,Drama,Horror","nm0000546, nm1404137","nm0601553, nm2322853",nm0354453,nm1266897,,"nm2448068, nm4234703",nm2033094,PG-13,5.6,5.9,5.6,5.6,5.6,5.6,5.6,5.9,5.3,5.6,5.6,5500000,43609741,5.5,43.609741,7.929043818181818
231,tt2938956,The Transporter Refueled,The Transporter Refueled,2015,96.0,"Action,Adventure,Crime","nm4534098, nm0829032, nm0473814",nm5307742,,nm0216214,,nm3640199,"nm0177836, nm0171651, nm0000108, nm0436543",PG-13,5.1,5.5,5.2,5.3,5.0,5.3,5.0,5.7,4.6,5.1,5.1,25000000,72629670,25.0,72.62967,2.9051868
232,tt2948356,Zootopia,Zootopia,2016,108.0,"Adventure,Animation,Comedy","nm0000867, nm0252961","nm0329481, nm2809577",,"nm0397174, nm0601781, nm1158544",,,"nm1601882, nm0714114, nm2888684",PG,7.9,8.2,8.0,8.2,7.9,8.1,7.8,8.3,7.6,8.0,7.9,150000000,1023784195,150.0,1023.784195,6.825227966666667
233,tt2974918,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,2015,92.0,"Adventure,Animation,Comedy","nm0005134, nm0519043, nm1131557, nm0565366",,,nm0065608,,nm0046559,"nm0046564, nm0439739, nm0802020, nm1186373",PG,4.7,5.9,5.0,5.0,4.9,4.6,4.7,6.0,4.5,4.8,4.9,90000000,249517956,90.0,249.517956,2.772421733333333
234,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,151.0,"Action,Adventure,Fantasy","nm0000255, nm0147147, nm0251986",nm0010736,,nm0811583,,,"nm0796950, nm0006516, nm0333060, nm0004170, nm0277730",PG-13,6.5,6.3,6.4,6.5,6.4,6.6,6.4,6.4,6.0,6.3,6.4,250000000,873634919,250.0,873.634919,3.494539676
235,tt3014284,The Lego Ninjago Movie,The Lego Ninjago Movie,2017,101.0,"Action,Adventure,Animation","nm0000329, nm2002649, nm0035488, nm3529685",,,"nm0063769, nm0279729, nm0517517",,,"nm2972864, nm0923980, nm1117226",PG,6.0,6.2,6.0,6.1,6.0,6.0,6.0,6.3,5.7,6.1,6.0,70000000,123081555,70.0,123.081555,1.7583079285714285
236,tt3014866,Criminal,Criminal,2016,113.0,"Action,Crime,Drama","nm0000126, nm0005351, nm0000198",nm2933757,,nm1033517,,"nm1247584, nm0132300, nm9822321","nm0177018, nm0918711",R,6.3,6.4,6.3,6.4,6.2,6.4,6.2,6.5,5.9,6.3,6.2,31500000,38803993,31.5,38.803993,1.2318727936507936
237,tt3040964,The Jungle Book,The Jungle Book,2016,106.0,"Adventure,Drama,Family","nm5888481, nm0000195, nm0001426, nm0252961",,nm0002201,nm0269463,,nm1761420,"nm1098479, nm0456017",PG,7.4,7.5,7.4,7.4,7.3,7.4,7.3,7.5,7.1,7.5,7.3,175000000,966550600,175.0,966.5506,5.523146285714286
